pron,offset
lep5,0
kia4,3153
ba2,7037
em1,11653
lem2,16687
cam4,21825
zon4,27590
ok5,33146
kai3,36612
hiong4,41332
co1,45425
siau4,50563
kiau3,55492
dun4,59167
sun1,64096
liam2,69861
zo4,74686
pai4,79406
bien3,83708
se3,88637
yau2,93880
mo4,98078
guk5,102067
biang4,106056
fai2,110881
bin1,115497
si4,120008
zit5,124937
ko3,130075
yam1,134482
mien4,139829
zeu4,144549
get5,149583
kim1,153781
kong3,158397
pien1,163431
vui4,168569
siu4,173080
bi3,177800
hap6,182207
di1,186091
dut5,190602
tu2,194277
sio4,199206
tin3,203717
giung1,208228
kem3,213053
cung3,217773
ci2,223433
vuk5,228676
fung1,232665
hien1,237594
met5,242732
hau4,246825
cui2,250814
pak6,256265
yit5,260463
kat6,264661
yim4,268754
diam4,273265
lon1,277567
gau4,282078
gat5,286276
zau4,290369
bu4,295089
siap5,299600
kiok5,304320
tu3,307473
sia3,311984
mau1,317122
man1,321529
ciu2,326667
liau3,332014
suk5,336003
pau4,340514
lang2,344712
tung3,349641
sen4,354675
hau2,360335
giam3,364846
zo3,369671
nga3,374705
doi1,379112
ciap5,384041
seu4,388134
hien4,393272
fam2,397992
pet5,403130
leu2,407328
siang4,412257
pau1,418231
pang2,422742
sung1,428089
cau3,433854
lat5,438470
sim1,442563
fap5,448432
kiung2,452839
gip5,457559
siu2,461861
zan4,467417
song3,473182
iu1,478633
ngiun1,483144
cun1,487760
ciam4,493211
yiu4,498454
ngit5,502965
sap5,507058
dang1,512196
zang4,517543
cung4,523412
lin2,528759
pin2,533688
bot5,538304
siong3,542084
kiuk6,547118
kang3,551002
kut5,555931
ngiok5,559502
sat5,562655
yi3,567793
co3,572304
den4,577338
piau4,582058
men1,586047
kok5,590872
loi2,594652
han4,599163
lang4,603988
su3,608917
pi1,613846
han1,618357
hoi1,623286
ziam1,627902
giok5,633980
dau3,637133
liau1,641226
ga3,645737
dien3,650248
ngia1,655177
ngiap6,659584
sui1,663259
bun3,668919
ngi3,673430
bok6,677941
sa3,681930
lu3,687486
hang2,691370
mung2,696508
fui2,701019
mat5,705530
ziok5,709519
vu3,713194
sen1,717496
fai4,723365
bak5,727667
si3,731551
fet6,736480
mai2,740782
a2,745293
yet6,750222
pung4,754315
gien3,758931
bau4,763965
ya3,767954
kien2,772047
pi3,777185
tau4,781592
gan4,785685
cet5,790510
fat5,795648
cai1,799950
ciet5,805610
cong4,810644
gam4,816095
siau3,820920
cui1,825327
bau1,830674
cau4,834767
yun3,839696
e3,844625
au3,849136
yiu1,853543
