pron,offset
sen3 giang4,0
liong1 lak6 cap5 dau1,4825
do1 sau3 yiu1 sia1,11844
het6 su4 su1,22729
lau1 ngat5 ngat5,30584
tiau1 sam1 gan3 si4,37603
ca1 yi1,45562
yi3 gin1 gong3,50805
fan1 kio2 ziong4,58451
bo1 si3,66201
yiu4 siu3 bien1,71235
kiong2 liet6,78463
tiau1 sit6,82556
ti4 ng3 zung1 dui4,86754
kok5 zin3 tin2,93773
gu4 hak5 zi4 song4,103300
li2 tin4,111677
tin2 zong3,117860
sam1 si4 ngit5,124461
mau2 lem3,131375
pat5 fu4,136722
gai1 tau4,141024
fung1 pin2 long4 cin4,145222
fuk5 si3,152554
ziok5 lap6,158319
tiam2 sit6,162412
yau4 zu4 yi4,166401
biang3 kat6,174360
zon3 ngan3,178767
si3 sa2 lan4 sien1,183383
sui2 yen2 sam1 cak5,193850
su4 pu1,202959
ga1 con2 fu4 hiau3,208619
sam1 lung2 mun4 ti2,218146
zin4 pai4,227986
gon1 zien4,232497
kiun4 fu2,237217
ngion1 pi2 sa2,242460
song4 gok5,250315
tin4 mak5,255244
cau3 gang1,259128
yiu1 kiu2 bit5 yin4,264057
da3 cit6,273688
pau4 nga2,277781
ngiap5 tut6 yiu1 zi4,282292
hau3 ma3,290251
min2 but5 hi1 con2,295285
zam4 zong3,304603
sa1 ki1 zung1 sim1,309846
pi1 teu2,318537
tien4 zon4,324824
lam2 kit6,330798
sang2 teu2 hon4,335623
song4 giau4,345568
si4 gok5 ngi4 sut6,349975
sit6 coi2,358039
tuk6 hoi4,364117
yau2 gun3 ngok6,368942
tai4 zi3,373662
za1 da3 tau4,378696
but5 fai2 hau3 yi4,384252
liong1 sam1 go4,392316
tuk6 fai4 su1,399962
hau3 hon4,405622
m1 si1 yau4,410551
hi4 tu4,418928
pun4 sa4 gi1,423230
sui3 ca1,430562
hau3 miang4 sui3,435596
zung1 hang1,444391
sin2 vui2 pau1 yang3,449320
ton1 zong3,457593
liong1 tong2,462940
kon1 fen2 tai4 liong4,467660
hot5 dau3 cai3,475410
siong1 su4,482115
sam1 tiap6 gi3,487358
da3 fung1 lok6 yi3,494481
ki4 ca1 vui2 siu1,503485
hiam3 ok5,512176
hang2 ngin2 lu4,516478
tit6 liu4 liu4,524646
fung2 ze4,532292
pu1 kiau2 dap5 lu4,536803
gau1 su1,543508
tui1 ca1,548437
ngit5 gau3,552948
dong1 zung4,557564
ziap5 tang4,563433
tin4 liong4,567735
tau4 ga1 su1 siong3,572037
yi3 gin1,582608
ciu2 miu2,589522
siong4 mau4 tong2 tong2,596332
zin4 fong1 ti3,605232
sit5 sui2 zun1 pien4,611833
yit5 liong1 gan1,619165
ket5 hiong1,626184
zin1 siong4,631218
vu2 yau4,636356
yi1 cung2,641912
deu3 toi1,647677
zuk5 ng2,653233
lan2 vun2,658893
da3 pi4,665076
tiau2 mui4,668751
do1 min2,674620
leu4 geu3,679654
sit6 set5,686359
lui4 kiun4,691706
liong1 lip5,696113
vat5 gok5,700206
zin4 sien4,705135
hi4 tin4 sin2 han2,710064
hang2 san1,717396
zong3 sun1 vu2 ki4,723370
fui4 gang1 su1,730389
song1 zung1,736154
zim4 tai4 sui3,742650
zin4 yi2,749042
hong2 hang2,755225
sit6 si3 la1,760050
lau3 mak6 mak6,767696
yau4 soi4,772207
mau2 gin3,777450
liam3 pong2,783946
ya4 mok5 gong4 lim2,789397
sin1 zau1 ngit5,795998
tien1 song4,801763
ngiak5 mun2 teu2,807319
lan2 yi1 min2 cong4,819249
kiang1 cung1,828044
la3 zung3,834645
set5 siong4,839992
sip6 zung1 lit6,845443
man1 ha2,850790
gok5 lok6 teu2,855928
li3 hang2,861902
sim1 sut6 but5 zin4,867876
cet6 go4 hin1 bin1,875522
zin4 zung4 yau4 hoi4,884735
zin4 sit5,892694
yit5 fui4,897310
sam1 fan2 si1,902135
dan1 ngan3,910408
hang2 vun2,915024
det5 ngin2 giang1,921102
gam1 kung4,931151
ben1 tiap6,937020
hin2 sin2,941218
mun2 fu4 zu1 gien4,947819
ngiung2 tu4,955987
fat6 lin2 fat6 hien4,960707
heu4 tui4,967621
ngiau4 zin3,972446
zit5 ngi2,977897
yit6 miang2,984080
dau4 tui4,989114
zo4 gin3 me1,993312
ngan3 zai3,1000435
si2 ton1 si2 suk6,1005782
zong3 ngiu2,1013010
pa4 su1 ka1,1018357
ca1 zu1,1025376
sit6 fung1,1030305
heu4 tien1,1035339
dong1 kiuk6 za3 mi2,1040373
su1 zong3,1048541
tien1 pin2,1053888
lan4 zai3,1059548
sin2 m1 sin2 suk6,1064791
tam4 si1,1072646
hau3 yiu1 mi3,1077889
tui1 zin4,1084908
yin4 fu4,1090255
mui1 man1,1095080
piau4 pak6,1100114
on1 fui1 ta1 min4,1104521
tu3 ben1 nga3 gai3,1111958
tin4 ga4,1120231
tung1 dang3,1124847
tung2 song4,1129254
pin2 ngien2,1134705
ngo1 dong4,1139425
da3 co4 su4,1143518
hak5 yit5 giang1,1149701
kip5 sit6,1157974
ok5 din3,1161963
lan2 yi1 ngien2 yi4,1166474
tai4 tien1 hang2 tau4,1175374
ngi4 lan4 za3,1182706
