pron,offset
gan4,0
cet5,5556
fat5,10485
zu4,14787
ngan4,19821
cai1,25377
ciet5,31142
ngin4,36071
tui4,42254
cong4,47392
giang3,52948
dun1,58817
siau3,64373
cui1,69302
bau1,75067
cau4,79996
yun3,85343
au3,91003
yiu1,96141
yok6,101384
kia4,105477
ciam1,109884
piau1,116067
pok5,121101
vong2,125194
so3,131168
sap6,136411
ziong4,141131
po4,146582
ten4,150989
ngiet5,156963
fen2,161474
heu3,167657
gan1,172795
cun4,178351
luk5,183907
ha2,188523
ton1,193348
biak5,198799
ot5,202997
geu4,207508
ba3,212542
zien1,217471
gen4,223549
vong3,229418
yim2,235287
diu1,241052
cong2,246190
dun3,252164
ki3,257511
lip5,263067
ku1,267683
feu4,272821
tun3,277959
ba4,283306
bu3,287817
cap6,292746
kiam3,297571
hiung1,303127
han2,308474
sip6,313508
kien1,318855
ngu2,324933
gim4,329862
ba1,335731
siong2,340660
ngeu4,346634
kuk5,351563
liam4,355656
coi1,361630
ngo1,367395
ciu4,371697
puk6,376731
deu1,381033
mai1,386589
zien4,391623
ciong2,397701
hiun1,403884
sam2,409335
kai4,415309
mau3,420134
zut6,424959
pong4,429575
dam3,434922
nai1,440478
sung3,446243
zong1,452008
lip6,457773
yip5,462702
un4,467318
eu3,473083
sep5,478430
vat6,482941
tung1,487243
let5,492694
yen3,497519
sang1,503284
bong3,509258
tan1,514709
hiong3,520265
pat5,525612
van4,529705
sim4,535365
ngiam1,541339
vut6,547417
miau3,552033
gui3,556962
ga1,562100
ciet6,567134
lu4,571959
pung2,576575
sun2,581922
vak6,587687
zun3,592094
bun1,597650
den3,602997
sui3,608971
vu1,614527
yip6,619456
bai1,624281
lap5,629837
tam1,634557
cia2,640322
pok6,645565
song4,649658
dam4,655005
vok6,660665
pit5,665176
cit5,670210
leu4,675661
hiau3,680486
zim3,684997
co2,691284
lien3,696422
sa2,702396
zia4,707743
ca4,712359
diet5,717184
ha1,721904
lan3,726833
tat6,733016
pien4,737214
him1,743083
hi3,749475
gang4,754926
kau3,760482
ton2,765307
yi4,770445
sau4,776105
ngi4,781034
ngu4,786694
yui4,791310
hon3,797388
giau1,802631
vun2,807769
bong4,813429
den1,818776
ya1,824854
tun4,829679
yen2,835026
kiau1,840373
gun3,845407
ca3,850545
ngau2,855683
van2,860612
lon4,866481
ciu1,872246
gui4,877697
tiet5,882626
yim3,887555
ngiu3,893842
leu3,898980
men3,904223
kap5,910510
gim3,914917
mui1,921100
ngiu2,925925
kin4,931168
kau4,937246
ngam1,941966
sim2,947626
liu2,954122
kim4,959469
fung3,965652
mang2,970999
kiang4,976868
man2,982528
se4,988293
hang1,993222
ti3,998882
keu3,1004333
cin4,1009576
le1,1015550
cien1,1020897
kiam2,1026975
fuk6,1032740
hio1,1037042
vun1,1041971
con3,1047527
zi4,1053292
hap5,1059057
liong4,1063464
tiam1,1069124
