pron,offset
min2 gau3,0
dai1 zit5,4511
vui4 gi3 vui4 ngin2,9022
pi1 ngo4,16772
liong1 tit6,21074
ngit5 yun4,25794
lau3 fo3,30828
vong2 yun1 pin2,35548
ziong1 gung1 suk6 cui4,43821
co1 tiang3,52094
fung1 gon1 gi1,57337
gai3 fa4,65401
sam1 kien4,69912
an2 yong4 zo4,75572
fuk5 sa4 ge4,80919
sau1 vui2,86475
van1 zai3,91718
lu1 pin2,97169
cui1 bo1 zai3,102829
cong2 on1,110057
sit6 yin4,115926
fan1 teu2 ga4,121691
vo2 bit5 zai3,128292
zung4 zau1,135311
sam1 bak5 ngi4 sip6,140136
sam1 ko1,147468
go4 zung1,153651
sun3 bin1 ziet5 ziong4,158267
gai1 gon1,165704
pin4 sia3,171887
sien1 fa1,176085
gau3 co4,181223
sam1 gang1 ban4 ya4,185525
gau4 lan2,192962
sam2 su1,198205
liong1 tai4,203970
vok6 can3,209108
mok6 min2 ki2 miau4,213724
e4 gam3 gok5,221788
zon3 boi4,227553
tuk6 lam2,233318
vat6 lut6 lut6,238665
kiun4 toi4,244534
tui1 gong3,249463
hiu1 ten2 fa2,254810
bin3 sit5 cin4 hi4,261306
lam2 pan4,268952
dok6 cai2,274717
ngia1 ge4,279228
tai4 lan4 but5 si3,283112
hau3 sia1,289713
siong1 kon4,294433
pan4 cu3,300407
bun3 mat6 dau3 zi4,305650
mong2 zung1 yiu1 co4,312146
cong2 ngien2 lui4 ngiet6,319583
ce2 giok5,326184
ban4 gin1 bat5 liong3,330800
song4 min4,338550
zung3 cuk6,343897
ap5 gai4,348722
pien4 lam4,353024
tin4 yau4,357431
hoi3 sien1 gien3,361106
yau4 sit6,369379
ngam1 tang4,373263
giet5 hoi1 ben1,378401
tiap6 zi1,386151
sin2 yin1,391080
diam3 cok6,396114
deu1 ngiau4,400625
da3 siau1,405345
ca1 mui1 den1,409961
yim1 gan1,418547
tong1 ng2,424834
cam4 su4,430077
zin4 song2 ngin2,435633
fong2 song4,442129
hang2 lui2,447163
gon1 cai2,452510
si3 yi1 on1 lok6,457753
yung2 yung2 su1 ngi1,463936
ngan3 gien4 vui2 sit6,472000
da3 hi3,478601
hau3 kiang1,483112
vui4 hang2 go4,488250
sen4 gai3 ngin2 yi4,496209
giam3 tin4,504691
zuk5 gin1,510456
heu4 kiun2 ki1,516952
cu3 li1 ha4,524493
sau4 lim2,531198
zin4 pai2,536336
sam1 cun4 dang1,541265
sui2 cu4,548702
mun2 fu4,553945
kip5 ca1,560023
zu1 heu4 ciu4,564534
ok5 fa4,570508
cit5 zai3,575333
sin1 coi2 zang4,580158
liu2 lan2,587386
bong1 den3,592733
dai3 sien4 con2 zung1,597453
ham2 sip5 zai3,606562
sip6 luk5 kiong2,613267
ca1 gung1,620286
ti4 lin2 ngin2 kiet6,626155
pin2 si2 du1,632860
da3 pan4,640297
zung1 yong1,645226
giau3 sun2,649946
sit6 yok6,654875
li3 fa2 min2,659282
hau3 oi4,666405
zit5 ko3,671439
da3 yiu2 si1,676473
dan1 dan1 da3 da3,683805
zung3 zi4,690197
ap5 kin1,695648
mo2 lan4 ciak6,700682
zu3 coi4,706447
hien1 li2 si1 tau4,711376
vong2 tau4 git5 ngit5,717977
gon1 yim1 bin1,724055
gan1 ok5,732432
man1 si1,736316
tung2 lon3 sung1 sang1,741872
da3 m1 da3 det5,749309
ngu2 lok6 kien1,755596
cim3 sit6 but5 on1,761779
vui4 gin1,769216
zia3 fu1,774250
da3 zin3,778866
van2 ga4,784109
ham2 liong4,788934
lok6 tien1,792923
bau3 sit6 zung1 ngit5,798479
siu3 zang1,804557
gim4 zi3 tin2 ca1,810322
song4 ngan3 pi2,817027
yi2 sin2,824464
ka1 tung1,829184
sin2 gin1 hok6 ga1,834113
gan1 du3,841550
da3 lan2,847315
dong1 m1 dong1,852453
dau2 ma2,860412
pak6 va4,865655
zung1 diam3,870480
bak5 tu4,875723
pi4 sat5,880234
ziap5 bok5 ba1 su4,884118
ko4 zong3,891032
yiu1 hau3,895439
nga2 sot5,900159
boi4 ziang3 li2 hiong1,904252
tap6 ban3,912734
yung2 fui4 gon4 tung1,917872
sip6 yi1,926563
siang1 mun4,931910
diau4 bi4 ca1,937675
tiet5 gon1 yim1,943544
zin4 m1 zin4 kok5,952862
bit5 gi4 pu1,959045
sin2 sin1,965541
gim4 zuk5,971933
but5 yit5 tin4,976653
zu4 min2,983881
pu4 vui4,989124
san3 fo4,993635
tai4 hoi3 leu2 zim1,998355
si4 cu4,1008091
fuk5 gien4 sen3,1013125
giok5 ban3 sim1,1019726
pong4 cung1,1026745
ca1 zu3,1032092
vu2 so3 sit5 cung2,1037439
su1 tu2 pat6 tau4,1045398
zung1 mui1 ziu1,1051581
mung4 siong3 sin2 zin1,1059227
miong3 song4,1068858
yiu1 mau2 gi1,1074518
gung1 cin2,1081432
gon1 cat5 ngip6 mi2,1086988
sit6 zi4 song4,1094843
fong4 sa4,1101026
cung4 ngim4,1105642
hen3 cung1 yau4,1110676
hau3 zang4,1116441
pi4 yen1 ngam2,1121057
ziong1 zi4,1128703
lin2 tung1,1133737
diau1 ket5 pin3,1140129
yun2 lam2 sen3,1147148
mien1 mien1 kiong3 kiong3,1154271
liong1 lip5 fa1,1161290
kien4 gai3,1167577
hau3 su3 hau3 yung4,1171984
gung1 kiung4 tien4 va4,1180779
yi3 gin1 ko3 yi1,1187798
muk5 teu2,1195757
lo2 su1 pai1,1201835
dau4 heu4 giang4,1208749
heu4 giung1,1214514
zoi4 go1 zoi4 mu3,1219339
fan1 gan3,1226462
sung4 ca1 mui1,1232227
vong2 ga1 kiong2,1239350
con2 kiu2,1245846
gon1 tong2,1251506
cin1 lit6 cin1 vui2,1257166
gung1 ngiap6 hok6 gau3,1264812
ngi3 si3,1271308
song4 ga1,1275297
fu1 zit5,1281166
mau2 ba1 da3,1285573
da3 zai1,1291442
pi4 sin2 su4,1296371
da3 gung1,1303494
ba1 si3 sien4,1309154
ngiu3 ton4 su1 lien2,1316173
ket5 fan4,1322147
bak5 fun4 zu1,1326658
