pron,offset
bang1,0
gang1,2421
ngam2,4633
näk6,7054
diu2,8744
käp2,11165
m4,13064
häu1,15590
sung2,18429
zo6,21373
muk6,23794
tong4,25797
gäi1,28114
lai2,30431
lik2,32957
di2,34960
ngau4,37381
zok2,39698
lu6,42328
mæng4,44645
long2,47066
gik6,49487
mang1,51490
si2,53911
yäng2,57064
wäi6,59485
dam1,61906
yip2,64327
sa1,66435
gwæng1,68856
mi4,71486
gäng2,74325
dö2,76746
näu2,78958
lung4,81588
däu1,83800
lau4,86430
yäm1,88538
sik6,90750
kau1,93171
o1,95801
nau4,98222
nang1,100434
nöng4,102751
lam1,105172
bung1,107489
sik2,109806
næng1,112227
mong1,114544
täu4,117174
sü4,119491
ning2,122539
dong1,124856
cæng2,127277
käi2,130325
mak6,132746
cü4,134749
pi2,137484
säp6,140010
bäng1,142536
go1,144853
säk2,147065
dim6,149277
gung1,151385
gæk2,153806
gwo1,155809
kwäi1,158230
seng2,160651
da1,163386
häi1,165389
pong1,167706
ngo4,170336
long4,172548
zek6,174551
fæng4,177286
mäi4,179916
zæk2,182337
döi6,184967
säm1,187284
nam4,189914
lok6,192126
lo4,194234
hong6,196446
täi1,198867
dæng1,201288
däm6,203605
bing1,205713
kai2,208030
wui4,210556
mau1,212768
ciu2,215398
sæk2,218237
ham6,220763
gwui1,222766
fæng6,225083
yäu1,227818
yäu4,230239
läng2,232451
täng1,234977
düng1,237398
pau4,239924
ok2,242136
sæng1,244348
nung4,247187
æk2,249190
lai6,251507
hau2,253928
tiu4,256767
fuk2,258979
näp2,260878
käk2,262672
äi1,264466
ting2,266887
kwu1,269308
häi4,272147
yuk6,274359
bäk6,276258
fæng1,277948
kwui2,280578
pau1,283104
lim4,285630
bæng6,287633
gau2,289950
sung1,292580
zau6,295524
düng2,298154
fong4,300575
säng6,302996
wäi4,305835
hung2,308256
ngau6,311095
sim1,313516
yüng4,316460
köng4,318881
duk6,321302
siu2,322992
yüng2,325936
gwai1,328671
wong2,331197
näng2,333932
säm4,336249
yiu4,338670
kü4,340882
pæng4,343512
yik2,345829
pung1,347832
löng2,350253
cung4,352674
lu1,355304
gwäk2,357830
mäng1,359624
yik6,361941
ying6,364362
bi6,366783
bäu6,369204
hiu2,371521
hok2,373942
läm6,376259
no4,378576
giu2,380684
tim4,383210
liu1,385422
käu1,387530
näu6,390056
bui6,392373
mung6,394794
pok2,397215
cöi2,399427
pi1,402266
lük6,404792
näng6,406795
gwong1,409007
käm2,411115
lo1,413536
däp6,415748
ba2,417542
tiu1,419754
bok6,421966
li6,423969
ping1,426286
sim6,428707
næk6,431233
dök2,433236
mung2,435657
gik2,438078
fui2,440081
nim6,442711
häng4,444923
geng1,447344
yi2,449870
ai1,452605
cäu1,455026
zing2,457865
di6,460704
si3,463125
ung1,465964
lau1,468385
a2,470911
biu2,473019
häng1,475440
häu6,478175
pung4,480596
mäi6,482808
na1,485438
ngäu6,487441
cuk2,489862
mung1,492283
dai2,494600
zo2,497021
zok6,499338
cai1,501759
nam1,504598
löi1,506915
mik6,509336
cong4,511548
o4,514283
yuk2,516286
tüng4,518185
käm4,520606
gü1,522609
zök2,525239
bau1,527869
wäng6,530290
cau4,532711
cik2,535237
yiu1,537658
cäng1,540079
tim1,542814
zeng2,545235
yöi6,548179
zong6,550600
kwæng2,553230
gwäi6,555965
sap6,558386
zöng2,560807
cöng1,563542
po4,566381
säu6,568698
biu1,571537
mai6,573854
yöng2,576275
cing4,579010
mo6,581327
hü2,583748
lük2,586378
long6,588590
däng6,590907
gäm1,593119
diu1,595540
cong2,597857
päi1,601010
dæk2,603327
zäng6,605748
töi2,608378
wong6,611217
hong2,613638
lök6,616164
kwæng1,618167
gwäk6,620379
ngük6,622173
ba1,624281
ngam4,626284
tim2,628392
ap2,630709
wæng6,632817
wæng4,635238
cü2,637659
ngo1,640603
ciu4,643129
näk1,645446
mai1,647240
sek2,649661
käm1,652291
läm1,654712
lik6,657133
fui6,659136
sam2,661662
lok2,664292
täu2,666504
tüng1,669343
sing4,671869
kik2,674604
häi2,676607
gu2,678819
ying2,681554
häk2,684080
pong4,685979
nai1,688191
yü1,690612
wäi1,693451
löi4,695872
zong1,698189
lip6,701133
gü6,703136
tung1,705766
king4,708083
gap6,710191
ngäi4,711985
wäk2,714302
wong4,716096
gäu2,718413
geng6,721043
tæng2,723360
zong2,725886
ung2,728725
sim4,731460
gwu2,733986
däk2,736825
äm2,738619
ga1,741040
cu1,743043
töi1,745987
söi4,748617
lu4,751456
ni1,753459
äu2,755880
pung2,758719
wæk6,761349
mäu1,763561
yip6,766191
bai1,768508
pik2,770825
zat6,772828
päng4,775040
ngok2,777252
gong2,779673
tam1,782094
bong6,784411
co2,786728
wui2,789776
näi4,792197
sa2,794409
wung4,796935
gwäng6,799147
gang2,801673
ca4,803990
puk2,806307
säng4,808310
piu4,810940
yäp2,813152
ngæng4,815051
do6,817368
pän1,819371
ha1,821792
wong1,823795
sip2,826216
mäi1,828742
gim2,831268
mik2,833689
zäm2,835901
him1,838740
bok2,841161
zöi1,843373
yi4,846108
fi2,849156
teng1,851786
huk2,854312
luk2,856524
ya1,858527
düng6,860426
zük2,862847
häp6,865686
ciu1,867689
