pron,offset
wui1 säk2,0
cöng1 ping2,3780
gok2 zi6 wäi4 zäng1,8082
tai1 päng4 mung4,14160
se4 wong4,18462
zäng2 cäi4 wæk6 yäk2,22137
ci1 bi6,29678
tiu4 gäng1,33980
si6 yäu4 läu1 fæng6,38282
cüng4 zäng1,45719
löng1 sam1 go1,50021
bing1 da1,55055
wæng6 söng1,58730
da2 zäk2 säng1,63241
sa1 cäng4 bäu6,67752
lung4 zäi2,73099
däu2 mai1,77401
säu1 säng1,81181
sü1 säng1,85692
ga1 däu6 zung1 lok6,90412
næng4 häng1 næng4 däi6,95968
dæng1 ce1 gwung2,102778
päng4 säm1 yi4 läng6,108021
täu1 säk6,115980
da2 fung4,120178
fæk2 kung4 ok2,123749
kong1 zäng1,128783
zæng1 hi1,132876
gwong1 fuk6 söng6 söi2,136760
wung6 mi6,144301
zäu6 häu2,148081
zip2 zung1,152488
wäi4 fu1 bäk2 yäng4,156477
däng2 zim1,163287
gung1 bui1,167485
fæng2 se6,171578
yäk2 buk6 säp6 fung4,175462
gäm1 fai1,182167
wäng4 si2,186574
gai2 so2,191085
hi1 su1,195074
mäk6 si1,199481
cäng4 fong1 wung1 säng1,203365
ca1 siu2 siu2,211951
fi1 ce1,217402
sing6 säk6,221495
cung4 däu6 fuk2 cik2,225693
bi6 yäng4,232921
gau1 löng6,236178
ce1 gwui1,240167
ngo1 häu2 ci1,243738
muk6 cü1,248145
cek2 däu6 yi4,252343
him2 si2 wæng4 säng1,256959
ha6 bung1 ning4,263873
bing1 zung2,267966
gok2 sæng2 dung1 säi1,272373
löng1 häu2,280646
fui2 tung4 zi6,284948
gik6 ki4 löng6,289982
yäu6 säng4,294598
häk2 säk6 fo1,298796
däu2 ha6,304352
nam4 nü1 läu1 siu1,307923
häu2 säk2 mong6,316300
mung6 mung6 bäk2 lok6,321438
dai6 fui2 läu4 zäm1,327830
fäng1 zäng1,336103
zäm1 wui6 dai6 hok6,340614
wäng1 gäu2 wo4 päng4,346692
zuk2 muk6 gäng1 säm1,352979
su2 cäu1,360520
wong4 du2 duk6,365554
yäu1 ziu1 yäk2 yäk6,369856
säng6 zung6 ki4 si6,375412
säk6 yäu4,382640
gai2 fong1,386733
säng1 tai1,390722
su1 gü1 fu1,395233
cöng4 fong1 yäng4,401520
säng1 zäk6,406031
yi6 zäi2 däi2,410020
geng1 säi1,415263
fong1 m4 fong1 bing6,419356
cäi4 säm1,425957
säk6 yim4,430468
bäk2 wäi4 yi1,434457
ha6 ci1,440222
sæng1 säm1,444211
säk6 siu1,448513
säm1 wæng1 däu6,452920
yiu1 näm2,458267
däi2 näm2,462047
