pron,offset
fu4,0
zæk6,2526
kwok2,4738
bong2,6741
kwäi4,9267
giu1,11793
bi2,14110
läm4,16427
näm4,18639
mung4,20747
kwong1,22959
dam6,25380
nim4,27279
ngai4,29387
yim1,31913
kong1,34648
gäk2,36965
deng6,38655
læng6,40867
dam2,43393
cäk6,45814
bi1,47922
guk2,50343
nuk6,52242
mong6,54141
na4,56771
ngau1,58670
ziu6,61509
täm1,63826
mu6,66143
seng1,68878
hok6,72031
pa1,74034
zik2,76037
mäu6,78249
däu6,80775
nöi1,83092
cäu3,85618
me1,88144
ming6,90565
läu6,93091
zäu6,95617
gwöi6,98038
dük6,100459
cæng1,102462
hai1,105092
hiu1,107722
gam2,110039
kai1,112460
wui6,115090
äm1,117511
cak2,119828
nau6,122354
ho1,124775
hik2,127092
söng6,129095
gi1,131621
zæng1,134042
bäng2,136672
hæng4,138989
wung2,141515
nang1,144354
cäu2,146671
cäng4,149406
sa1,151723
beng1,154144
fäng6,156565
kwong4,159091
sau1,161303
bu6,163933
dai6,166459
zong4,168671
ziu2,171092
pi4,173827
ling1,176248
ting4,178669
zäm1,180881
näk6,183302
bau2,185096
cok2,187726
ning4,190461
gæng2,192778
ki1,195199
gwæng1,197620
täu4,200250
bo1,202567
mi4,204779
läp6,207618
kong4,209517
diu2,211625
hong1,214046
ngam2,216363
cim1,218889
yäu6,221415
zöi2,223836
se2,226466
cai2,228887
ding1,231726
gäng2,234147
lüng6,236568
lo2,238989
päu4,241306
zau2,243623
cu4,246358
käp2,248884
m4,250678
yiu2,253308
hung6,255834
na2,258255
häu1,260258
fäk2,262888
sung2,264891
tai1,267835
be1,270256
tam2,272259
dung2,274576
läi6,276997
zo6,279627
yäk6,281735
fi1,283634
nu1,286160
sung4,288581
näu2,291107
hüng1,293737
wu1,296263
muk6,299102
gäu6,301001
tong4,303422
lüng4,305739
gip2,308265
fung6,310268
sok2,312689
mong1,315215
bäng6,317950
gäi1,320162
so2,322479
lai2,324796
wæk2,327635
ngang4,329952
wa4,332373
lung6,334585
nung1,337006
lung4,339323
sau2,341431
ngäu2,344270
päk2,347109
nöng4,348694
däu1,351220
ngäk2,353746
fok2,355540
yeng4,357752
ning2,360278
lam1,362699
gwong2,365120
lik2,367437
tung2,369440
bung1,371861
zi2,374178
bæng1,377122
hek2,379543
häng6,381755
dæk6,384385
lau4,386284
fäu2,388496
zöng6,391126
di2,393861
miu6,396178
zi6,398599
niu1,401334
giu6,403442
bai6,405759
ngau4,408076
guk6,410497
säp2,412396
cäk2,414608
yap6,416611
tai4,418405
lü1,420826
süng4,423561
yäm1,426087
ta1,428404
käu4,430407
su2,432724
züng1,435668
li1,438507
sik2,440928
häm2,443349
bäu2,445979
zok2,448609
lu6,450926
e6,453243
heng1,455769
bung6,458190
gäm2,460611
pæng1,463032
suk2,465453
bo2,467770
ceng2,469878
päng1,472299
lim1,474720
mæng4,477141
beng2,479667
huk6,481984
ngæng6,483883
long2,486409
gik6,488935
mang1,490729
sik6,493255
yäi4,495676
næng1,498097
kau1,500518
to1,503148
gwung1,505360
gü2,507886
zöi6,510307
hong4,512728
zung1,514836
ba6,517362
si2,519156
gwa2,522204
yäng2,524207
dæng6,526628
so4,528945
geng2,531262
mok6,533579
yung4,535896
tüng2,537899
zöng1,540320
gäng6,543264
häng2,545685
dung6,548315
lam6,550632
fo1,552635
bäu1,555056
ziu1,557477
pa4,559898
hong6,561901
ma4,564322
ong1,566325
fäng1,568642
dap2,571377
gäp2,573485
hai4,575279
cöng2,577909
läng4,580853
lüng2,583274
tæng4,585800
läk6,588221
ngäi6,590120
ngang6,592855
kok2,594754
cäu4,596653
häi6,598970
zäp2,601287
ngong1,603290
säi2,606129
tam4,608864
uk2,610867
tuk2,612661
da2,614560
cam4,616563
zek2,618880
ng1,621510
läp2,624454
wæng2,626457
ging1,629296
zäk2,631717
co1,633720
fäu4,636455
yöi2,638667
kwäi2,641402
gwuk2,644032
la1,645931
bik2,647934
gäu1,649624
pai4,652045
cäm2,654571
zim2,657201
mo4,659936
bæk6,662357
ging2,664360
lek2,666677
si4,668889
däi2,672146
zü2,674567
läng6,677615
yöi1,680141
zäi1,682876
ding2,685297
au1,687718
hæng2,690348
däp2,692874
säi1,694773
siu4,697403
hap6,700033
di1,702036
tu2,704457
döi1,706983
ci2,709509
däi1,712348
ni6,714665
fung1,717086
dim2,719507
sü6,721824
ngäk6,724768
cän2,726562
töi4,729192
zuk2,731613
fik6,733616
yim4,735724
nöi6,738250
täi1,740671
dæng1,743092
