pron,offset
läk2 yüng4,0
uk2 deng2,3780
ting1 cöng4 di6 gäu2,7246
däi6 mi2,15623
söng1 wu1,19612
päng4 bæng2 ding6 näu1,23601
gwui6 däu1 si2,30829
häng1 yi6,36280
bäk2 zok2 wäi4,40373
wo4 hüng2,44780
cü1 li1 ha1,48873
si1 läng4,52966
tong6 yüng2,56537
löng1 ming6 pai1,60839
säk6 däu6,66186
yi1 wäi4 zi6 gi2,69861
säng2 liu1,77402
zuk2 zek6,80973
cöng4 tung2 hai4,84753
cu1 läu1 po4,89682
häp2 yäk2 zäng2,94193
se2 gäng6 käu4 yüng1,98391
ming1 köng1,105305
da2 zung1,109398
ze2 fu1,113073
mau1 gäu2,117166
long6 gung1,121468
häu6 löi4 gü1 söng1,125979
biu2 zi2 mui6,132162
zäng1 gäng2,137613
yi6 gæng1,141811
zäu6 m4 säi2,146218
gäng1 wäng4,150625
zäi1 duk6,153987
ha6 mäng4,157140
yöng1 gwäi2 zäi2,160397
wa4 to4,165640
o1 cong1 säng6,169211
säng1 ciu1,175080
säu1 päng4,179382
wui6 sæng1 nü2,183475
co1 fa1 täng1,188509
zap6 yäu4 bu2,193543
siu1 ning4 yäng4,198890
fäu4 zäi2,203192
lok6 yü1,207285
söng6 ha6 mäng4,211796
yäp6 zäk6,216725
läi6 ga1,219878
ngik6 söi2 fu4,223553
yäu6 leng1,229109
tiu4 mi6 zäi1,232993
gong2 dai6 wa6,237922
da2 däng6 zü2 yi1,242433
täu4 næng6,248616
säng1 li1 si4 zung1,252709
pung1 pung1 ce1,260982
zöi1 gäng6,265911
kai1 m4 kai1 däk2 hi2,270004
cäk2 ning2,276918
züng2 säng4,280698
ma4 zök2,284687
söng1 gäng1,288571
lang2 säng2,292978
muk6 yüng4 muk6 liu1,297385
yüng4 zi2 häk6,303881
söi2 täm1,309228
zim1 mai1,313635
se6 gwäi1,317415
ma1 läu4,321299
häng1 mu1 hi1,324974
zäk2 häk2,329067
käm1 zäi2,332011
zu6 cöng4 häu2 hi1,335895
mung2 zäi2,344795
o1 wa4 ting4,348888
duk6 säng1 zi2,352877
zöi2 zök2,358537
yim6 häk6,362630
cäu1 ou1,366096
pæng1 tung2,369980
säk6 si2 la1,374178
däng2 zäng6 kü1 zäu6 loi4,378898
fæng1 kö2,388738
säm1 geng1 dam2 tiu1,392831
mau4 cäu2,400581
yäk2 pau1,405406
yäng1 wäi6 ngo1,409186
häu2 gäu1,413697
läu1 säng4,417581
ngong4 päng4,422092
zuk2 yi1,426290
ma1 däu1 säng4 gung1,430070
zi1 säng1,438552
häng1 yiu4,442959
gäng2 leng1,446634
hæk2 zæng2,449996
yäng4 zü6,453880
gi2 gäm1,458078
käm4 lo2,461753
düng6 mik6,465010
hæng4 gäng2 gai1,468372
yäk2 nam1 cöng4,473615
wæng6 næng6,478335
nai1 zöi2,482219
lok6 hü1,486730
yäk2 mäng4 gäng1 yäng4,490405
tæng4 zi2 zi1 gæng1,497424
læng2 læk2,505488
wäng4 täng1,509059
wu6 zöng2,513048
geng1 ceng1 ceng1,517664
duk6 gäm2,522907
yim1 zü1,526582
ngok6 pu2,531093
ting4 lö2,535709
mui4 yäng4,539384
hi1 pau1,543059
ping4 yi4 mok6 tam1,547361
fæng1 kö4,553857
zok2 äu2,557532
ok2 zap6,561521
hong4 hong4,565196
